headline,url,description,publication_date,newsletter_headline,newsletter_sub_hed
Arizona and Missouri Will Vote on Abortion in November,https://www.nytimes.com/2024/08/13/us/arizona-abortion-rights-ballot-november.html,"Arizona voters will decide in November whether to establish a right to abortion in the state Constitution, while a similar ballot measure in Missouri could overturn a near-total ban.","Aug. 13, 2024",Arizona and Missouri Will Vote on Abortion in November,"Also, Hamas said it would not participate in new truce talks. Here’s the latest at the end of Tuesday."
Hamas said it would not participate in new truce talks,https://www.nytimes.com/live/2024/08/13/world/israel-iran-hamas-gaza-war,"Hamas will not join upcoming cease-fire talks, indicating that a breakthrough remains elusive despite international pressure on both sides.","Aug. 13, 2024",Arizona and Missouri Will Vote on Abortion in November,"Also, Hamas said it would not participate in new truce talks. Here’s the latest at the end of Tuesday."
Ukraine’s incursion has upended the dynamics of the war,https://www.nytimes.com/2024/08/13/world/europe/ukraine-russia-war-kursk-offensive.html,"Ukraine has launched a major offensive in Russian territory, surprising even its closest allies and aiming to alter the course of the war.","Aug. 13, 2024",Arizona and Missouri Will Vote on Abortion in November,"Also, Hamas said it would not participate in new truce talks. Here’s the latest at the end of Tuesday."
Summer heat can damage mailed medication,https://www.nytimes.com/2024/08/13/health/heat-mail-order-drugs.html,Millions of Americans who receive prescription medications by mail may face health risks as high temperatures in delivery trucks can overheat the drugs.,"Aug. 13, 2024",Arizona and Missouri Will Vote on Abortion in November,"Also, Hamas said it would not participate in new truce talks. Here’s the latest at the end of Tuesday."
SKIP,SKIP,SKIP,"Aug. 13, 2024",Arizona and Missouri Will Vote on Abortion in November,"Also, Hamas said it would not participate in new truce talks. Here’s the latest at the end of Tuesday."
The little streaming service that could,https://www.nytimes.com/2024/08/13/business/media/tubi-movies-tv-streaming.html,"Tubi, a free streaming service owned by Fox, consistently outranks larger competitors and has a strong following among Black viewers.","Aug. 13, 2024",Arizona and Missouri Will Vote on Abortion in November,"Also, Hamas said it would not participate in new truce talks. Here’s the latest at the end of Tuesday."
"Decades after child stardom, Haley Joel Osment is content",https://www.nytimes.com/2024/08/13/movies/haley-joel-osment-sixth-sense.html,"A quarter-century after his breakout performance in 'The Sixth Sense,' Haley Joel Osment has found a balanced life and continues to work steadily, crediting his parents for his success.","Aug. 13, 2024",Arizona and Missouri Will Vote on Abortion in November,"Also, Hamas said it would not participate in new truce talks. Here’s the latest at the end of Tuesday."
SKIP,SKIP,SKIP,"Aug. 13, 2024",Arizona and Missouri Will Vote on Abortion in November,"Also, Hamas said it would not participate in new truce talks. Here’s the latest at the end of Tuesday."
SKIP,SKIP,SKIP,"Aug. 13, 2024",Arizona and Missouri Will Vote on Abortion in November,"Also, Hamas said it would not participate in new truce talks. Here’s the latest at the end of Tuesday."
"Dancing the undanceable, for laughs",https://www.nytimes.com/2024/08/12/arts/sarah-mccreanor-smac-hydraulic-girl.html,"Sarah McCreanor, known as Smac, combines physical comedy with serious dance technique in her viral videos mimicking objects being crushed by a hydraulic press.","Aug. 13, 2024",Arizona and Missouri Will Vote on Abortion in November,"Also, Hamas said it would not participate in new truce talks. Here’s the latest at the end of Tuesday."
SKIP,SKIP,SKIP,"Aug. 13, 2024",Arizona and Missouri Will Vote on Abortion in November,"Also, Hamas said it would not participate in new truce talks. Here’s the latest at the end of Tuesday."
