headline,url,description,publication_date,newsletter_headline,newsletter_sub_hed
Biden and Harris Made a Joint Appearance,https://www.nytimes.com/2024/08/15/briefing/biden-harris-joint-appearance-ukraine-advance-russia.html,"President Biden and Kamala Harris appeared together in Maryland, focusing on prescription drug cost negotiations and marking a significant moment for Harris as Biden ends his bid for re-election.","Aug. 15, 2024",Biden and Harris Made a Joint Appearance,"Also, Ukraine said it had captured a Russian town. Here’s the latest at the end of Thursday."
Ukraine said it had captured a Russian town,https://www.nytimes.com/2024/08/15/world/europe/russia-ukraine-airfields-kursk.html,"President Volodymyr Zelensky announced Ukrainian troops had taken full control of the Russian town of Sudzha, marking a potential first since the incursion began 10 days ago.","Aug. 15, 2024",Biden and Harris Made a Joint Appearance,"Also, Ukraine said it had captured a Russian town. Here’s the latest at the end of Thursday."
A pain-free alternative to the Pap smear will soon arrive,https://www.nytimes.com/2024/08/15/well/pap-smear-cervical-cancer-test-alternative.html,"Starting this fall, American women will be able to use a simple swab to screen for cervical cancer, an alternative to the Pap smear found to be just as effective at preventing cancer.","Aug. 15, 2024",Biden and Harris Made a Joint Appearance,"Also, Ukraine said it had captured a Russian town. Here’s the latest at the end of Thursday."
Five people were charged in the death of Matthew Perry,https://www.nytimes.com/2024/08/15/arts/television/matthew-perry-charges-ketamine.html,"Matthew Perry’s personal assistant, two doctors and two others have been charged with providing the ketamine that caused his death in October.","Aug. 15, 2024",Biden and Harris Made a Joint Appearance,"Also, Ukraine said it had captured a Russian town. Here’s the latest at the end of Thursday."
SKIP,SKIP,SKIP,"Aug. 15, 2024",Biden and Harris Made a Joint Appearance,"Also, Ukraine said it had captured a Russian town. Here’s the latest at the end of Thursday."
Remembering Gena Rowlands,https://www.nytimes.com/2024/08/14/movies/gena-rowlands-dead.html,"Gena Rowlands, the elegant actress known for playing intense characters, died at 94 after living with Alzheimer's, leaving behind a legacy of acclaimed performances.","Aug. 15, 2024",Biden and Harris Made a Joint Appearance,"Also, Ukraine said it had captured a Russian town. Here’s the latest at the end of Thursday."
"You, too, can run a marathon",https://www.nytimes.com/2024/08/14/well/move/marathon-training-tips.html,"With the right preparation, running a marathon is an attainable goal for most runners, and colleagues provide a structured training plan.","Aug. 15, 2024",Biden and Harris Made a Joint Appearance,"Also, Ukraine said it had captured a Russian town. Here’s the latest at the end of Thursday."
SKIP,SKIP,SKIP,"Aug. 15, 2024",Biden and Harris Made a Joint Appearance,"Also, Ukraine said it had captured a Russian town. Here’s the latest at the end of Thursday."
SKIP,SKIP,SKIP,"Aug. 15, 2024",Biden and Harris Made a Joint Appearance,"Also, Ukraine said it had captured a Russian town. Here’s the latest at the end of Thursday."
How many ways can you eat a cucumber?,https://www.nytimes.com/2024/08/14/dining/tiktok-cucumber-guy-logan-moffitt.html,"Logan Moffitt, known as 'cucumber guy', has gained fame on social media for his numerous videos showcasing creative ways to enjoy cucumbers.","Aug. 15, 2024",Biden and Harris Made a Joint Appearance,"Also, Ukraine said it had captured a Russian town. Here’s the latest at the end of Thursday."
SKIP,SKIP,SKIP,"Aug. 15, 2024",Biden and Harris Made a Joint Appearance,"Also, Ukraine said it had captured a Russian town. Here’s the latest at the end of Thursday."
