headline,url,description,publication_date,newsletter_headline,newsletter_sub_hed
Harris and Trump Battled for the Midwest,https://www.nytimes.com/2024/08/07/briefing/harris-trump-midwest-britain-protests.html,"The Harris and Trump campaigns made dueling appearances today in the same Upper Midwest cities, underscoring the region's importance in this year’s election.","Aug. 7, 2024",Harris and Trump Battled for the Midwest,"Also, rain from Debby pounded the Carolinas. Here’s the latest at the end of Wednesday."
Britain braced for protests,https://www.nytimes.com/2024/08/07/world/europe/uk-riots-police.html,"Thousands of police officers deployed across Britain amid fears of violence from planned far-right protests, while large antiracism protests took place in multiple cities.","Aug. 7, 2024",Harris and Trump Battled for the Midwest,"Also, rain from Debby pounded the Carolinas. Here’s the latest at the end of Wednesday."
Rain from Debby pounded the Carolinas,https://www.nytimes.com/live/2024/08/07/weather/debby-storm-forecast,"Parts of South Carolina were flooded today after receiving more than a foot of rain from Tropical Storm Debby, which is forecast to come ashore again overnight.","Aug. 7, 2024",Harris and Trump Battled for the Midwest,"Also, rain from Debby pounded the Carolinas. Here’s the latest at the end of Wednesday."
Extreme heat is threatening the Great Barrier Reef,https://www.nytimes.com/2024/08/07/climate/ocean-heat-great-barrier-reef.html,New research warns that this generation could see the demise of the Great Barrier Reef due to unprecedented ocean temperatures causing widespread coral bleaching.,"Aug. 7, 2024",Harris and Trump Battled for the Midwest,"Also, rain from Debby pounded the Carolinas. Here’s the latest at the end of Wednesday."
SKIP,SKIP,SKIP,"Aug. 7, 2024",Harris and Trump Battled for the Midwest,"Also, rain from Debby pounded the Carolinas. Here’s the latest at the end of Wednesday."
"The sport flipping, twisting and pushing for respect",https://www.nytimes.com/2024/08/07/world/olympics/artistic-swimming.html,"Being an artistic swimmer at the Olympics takes a dancer’s grace, a gymnast’s flexibility, a deep-sea diver’s lung capacity, and a large packet of gelatin, with China winning the team event and the U.S. earning silver.","Aug. 7, 2024",Harris and Trump Battled for the Midwest,"Also, rain from Debby pounded the Carolinas. Here’s the latest at the end of Wednesday."
How ‘Inside Out’ changed therapy,https://www.nytimes.com/2024/08/07/movies/inside-out-2-therapy-schools.html,"The animated film 'Inside Out' has provided a common language for children and adults to discuss their emotions, transforming therapy approaches.","Aug. 7, 2024",Harris and Trump Battled for the Midwest,"Also, rain from Debby pounded the Carolinas. Here’s the latest at the end of Wednesday."
SKIP,SKIP,SKIP,"Aug. 7, 2024",Harris and Trump Battled for the Midwest,"Also, rain from Debby pounded the Carolinas. Here’s the latest at the end of Wednesday."
SKIP,SKIP,SKIP,"Aug. 7, 2024",Harris and Trump Battled for the Midwest,"Also, rain from Debby pounded the Carolinas. Here’s the latest at the end of Wednesday."
Meet the winners of a zillion blue ribbons,https://www.nytimes.com/2024/08/07/dining/state-fair-food.html,State-fair all-stars in America dominate the culinary competitions by analyzing categories and impressing judges to win numerous blue ribbons.,"Aug. 7, 2024",Harris and Trump Battled for the Midwest,"Also, rain from Debby pounded the Carolinas. Here’s the latest at the end of Wednesday."
SKIP,SKIP,SKIP,"Aug. 7, 2024",Harris and Trump Battled for the Midwest,"Also, rain from Debby pounded the Carolinas. Here’s the latest at the end of Wednesday."
