headline,url,description,publication_date,newsletter_headline,newsletter_sub_hed
Harris and Trump Squabbled Over Debate Rules,https://www.nytimes.com/2024/08/26/us/politics/trump-harris-debate-abc.html,"Donald Trump and Kamala Harris are at odds over debate participation and rules for their upcoming debate on ABC News, with Harris pushing to keep both microphones on throughout.","Aug. 26, 2024",Harris and Trump Squabbled Over Debate Rules,"Also, Russia attacked Ukraine’s energy infrastructure. Here’s the latest at the end of Monday."
Russia attacked Ukraine’s energy infrastructure,https://www.nytimes.com/2024/08/26/world/europe/russia-ukraine-missiles-kyiv.html,"Russian forces launched over 200 missiles and drones across Ukraine, damaging energy facilities and causing blackouts amid Ukraine's military advancements.","Aug. 26, 2024",Harris and Trump Squabbled Over Debate Rules,"Also, Russia attacked Ukraine’s energy infrastructure. Here’s the latest at the end of Monday."
French officials explained the Telegram founder’s arrest,https://www.nytimes.com/2024/08/26/business/telegram-founder-arrest-france.html,"Pavel Durov, founder of Telegram, was arrested near Paris over the weekend as part of an investigation into criminal activity on the app and lack of law enforcement cooperation.","Aug. 26, 2024",Harris and Trump Squabbled Over Debate Rules,"Also, Russia attacked Ukraine’s energy infrastructure. Here’s the latest at the end of Monday."
Recycled plastic isn’t always what it sounds like,https://www.nytimes.com/2024/08/26/business/energy-environment/tritan-renew-plastic-bottles-recycled.html,"Many companies sell products made with Tritan Renew, a plastic marketed as 50 percent recycled material, but the company's use of a green accounting method called 'mass balance' may not fully support this claim.","Aug. 26, 2024",Harris and Trump Squabbled Over Debate Rules,"Also, Russia attacked Ukraine’s energy infrastructure. Here’s the latest at the end of Monday."
SKIP,SKIP,SKIP,"Aug. 26, 2024",Harris and Trump Squabbled Over Debate Rules,"Also, Russia attacked Ukraine’s energy infrastructure. Here’s the latest at the end of Monday."
Day 1 of the U.S. Open,https://www.nytimes.com/athletic/live-blogs/us-open-2024-tennis-live-updates-day-1-schedule-results/HsU3Kzkanl0v/,"The U.S. Open began today in Queens, with Coco Gauff and Ben Shelton winning their opening matches, and high-ranked stars like Novak Djokovic set to play later.","Aug. 26, 2024",Harris and Trump Squabbled Over Debate Rules,"Also, Russia attacked Ukraine’s energy infrastructure. Here’s the latest at the end of Monday."
The reigning couple of Russian translation,https://www.nytimes.com/2024/08/26/books/larissa-volokhonsky-richard-pevear.html,"Richard Pevear and Larissa Volokhonsky are celebrated translators of Russian literature, known for their commitment to objectivity and fidelity in their English renditions.","Aug. 26, 2024",Harris and Trump Squabbled Over Debate Rules,"Also, Russia attacked Ukraine’s energy infrastructure. Here’s the latest at the end of Monday."
SKIP,SKIP,SKIP,"Aug. 26, 2024",Harris and Trump Squabbled Over Debate Rules,"Also, Russia attacked Ukraine’s energy infrastructure. Here’s the latest at the end of Monday."
SKIP,SKIP,SKIP,"Aug. 26, 2024",Harris and Trump Squabbled Over Debate Rules,"Also, Russia attacked Ukraine’s energy infrastructure. Here’s the latest at the end of Monday."
A new generation of club kids,https://www.nytimes.com/2024/08/26/style/dance-parties-kids.html,"St. James Joy is a popular daytime party in Brooklyn where toddlers are welcomed for some pre-bedtime fun, allowing nightlife-loving parents to share the dance floor with their children.","Aug. 26, 2024",Harris and Trump Squabbled Over Debate Rules,"Also, Russia attacked Ukraine’s energy infrastructure. Here’s the latest at the end of Monday."
SKIP,SKIP,SKIP,"Aug. 26, 2024",Harris and Trump Squabbled Over Debate Rules,"Also, Russia attacked Ukraine’s energy infrastructure. Here’s the latest at the end of Monday."
