headline,url,description,publication_date,newsletter_headline,newsletter_sub_hed
Israel Began a Major Military Operation in the West Bank,https://www.nytimes.com/2024/08/28/world/middleeast/israel-west-bank-jenin.html,"Hundreds of Israeli troops carried out raids in the West Bank, targeting militant groups in Tulkarm and Jenin, resulting in at least 10 Palestinian deaths.","Aug. 28, 2024",Israel Began a Major Military Operation in the West Bank,"Also, the Supreme Court blocked another Biden student debt plan, for now."
Democrats target red counties and blue states,https://www.nytimes.com/live/2024/08/28/us/harris-trump-election,"Kamala Harris and her running mate, Tim Walz, embarked on a bus tour through rural southeast Georgia to build momentum in the Sun Belt for the upcoming election.","Aug. 28, 2024",Israel Began a Major Military Operation in the West Bank,"Also, the Supreme Court blocked another Biden student debt plan, for now."
"Justices blocked another Biden student debt plan, for now",https://www.nytimes.com/2024/08/28/us/politics/supreme-court-biden-student-loans.html,"The Supreme Court today temporarily blocked an effort by President Biden to wipe out billions of dollars of student debt, leaving millions of borrowers in limbo.","Aug. 28, 2024",Israel Began a Major Military Operation in the West Bank,"Also, the Supreme Court blocked another Biden student debt plan, for now."
Telegram’s founder was charged with a range of crimes,https://www.nytimes.com/2024/08/28/business/telegram-ceo-pavel-durov-charged.html,"Pavel Durov, founder of Telegram, faces charges in France related to illicit activity on the platform, raising questions about tech executive liability.","Aug. 28, 2024",Israel Began a Major Military Operation in the West Bank,"Also, the Supreme Court blocked another Biden student debt plan, for now."
Nvidia’s quarterly revenue jumped 122 percent,https://www.nytimes.com/2024/08/28/technology/nvidia-earnings-ai-stocks.html,Nvidia's significant revenue growth indicates strong ongoing interest in A.I.,"Aug. 28, 2024",Israel Began a Major Military Operation in the West Bank,"Also, the Supreme Court blocked another Biden student debt plan, for now."
A transgender actress could make Oscars history,https://www.nytimes.com/2024/08/28/movies/karla-sofia-gascon-emilia-perez-oscar.html,Karla Sofía Gascón's performance in the film 'Emilia Pérez' has led to speculation about her becoming the first openly transgender actress to be nominated for an Oscar.,"Aug. 28, 2024",Israel Began a Major Military Operation in the West Bank,"Also, the Supreme Court blocked another Biden student debt plan, for now."
The Paralympics are underway in Paris,https://www.nytimes.com/athletic/5725891/2024/08/28/paralympics-paris-2024-complete-guide-athletes/,"The Paralympics began today in Paris with around 4,400 athletes competing over 11 days, featuring events like para-swimming and blind soccer against the city’s iconic backdrops.","Aug. 28, 2024",Israel Began a Major Military Operation in the West Bank,"Also, the Supreme Court blocked another Biden student debt plan, for now."
SKIP,SKIP,SKIP,"Aug. 28, 2024",Israel Began a Major Military Operation in the West Bank,"Also, the Supreme Court blocked another Biden student debt plan, for now."
SKIP,SKIP,SKIP,"Aug. 28, 2024",Israel Began a Major Military Operation in the West Bank,"Also, the Supreme Court blocked another Biden student debt plan, for now."
Step inside Tony Danza’s apartment,https://www.nytimes.com/interactive/2024/08/28/realestate/tony-danza-apartment.html,"Tony Danza's Upper West Side apartment features a self-playing piano and walls adorned with memorabilia from his past, including his boxing career, as he prepares for an upcoming cabaret show.","Aug. 28, 2024",Israel Began a Major Military Operation in the West Bank,"Also, the Supreme Court blocked another Biden student debt plan, for now."
SKIP,SKIP,SKIP,"Aug. 28, 2024",Israel Began a Major Military Operation in the West Bank,"Also, the Supreme Court blocked another Biden student debt plan, for now."
