headline,url,description,publication_date,newsletter_headline,newsletter_sub_hed
Russia Freed Evan Gershkovich in a Major Prisoner Swap,https://www.nytimes.com/2024/08/01/world/europe/russia-gershkovich-prisoner-swap.html,"A significant prisoner swap involving seven countries freed Wall Street Journal reporter Evan Gershkovich, two other Americans, and several Russian opposition figures in exchange for the release of eight people, including Vadim Krasikov.","Aug. 1, 2024",Russia Freed Evan Gershkovich in a Major Prisoner Swap,"Also, a Hamas leader was killed by a bomb planted months ago. Here’s the latest at the end of Thursday."
Hamas leader was killed by a bomb planted months ago,https://www.nytimes.com/2024/08/01/world/middleeast/how-hamas-leader-haniyeh-killed-iran-bomb.html,"A Times investigation found that Ismail Haniyeh, a top leader of Hamas, was assassinated by an explosive device smuggled into his Tehran guesthouse and remotely triggered.","Aug. 1, 2024",Russia Freed Evan Gershkovich in a Major Prisoner Swap,"Also, a Hamas leader was killed by a bomb planted months ago. Here’s the latest at the end of Thursday."
Democrats began voting to make Harris their nominee,https://www.nytimes.com/live/2024/08/01/us/trump-harris-election-news,"Democrats began voting to formally select Vice President Kamala Harris as their party’s nominee, following President Biden's withdrawal from the race and his endorsement of Harris.","Aug. 1, 2024",Russia Freed Evan Gershkovich in a Major Prisoner Swap,"Also, a Hamas leader was killed by a bomb planted months ago. Here’s the latest at the end of Thursday."
Secret Service tech flaws helped the Trump shooter slip by,https://www.nytimes.com/2024/08/01/us/politics/secret-service-technology-trump.html,"A local police officer spotted Thomas Crook on a nearby rooftop before he shot at Trump, but the warning radio message never reached the Secret Service due to tech flaws.","Aug. 1, 2024",Russia Freed Evan Gershkovich in a Major Prisoner Swap,"Also, a Hamas leader was killed by a bomb planted months ago. Here’s the latest at the end of Thursday."
SKIP,SKIP,SKIP,"Aug. 1, 2024",Russia Freed Evan Gershkovich in a Major Prisoner Swap,"Also, a Hamas leader was killed by a bomb planted months ago. Here’s the latest at the end of Thursday."
A big day for celebrities in theater,https://www.nytimes.com/2024/08/01/theater/lin-manuel-miranda-warriors-album.html,"Lin-Manuel Miranda announced a concept album inspired by 'The Warriors', with other theater announcements including Adam Driver and Keanu Reeves returning to the stage.","Aug. 1, 2024",Russia Freed Evan Gershkovich in a Major Prisoner Swap,"Also, a Hamas leader was killed by a bomb planted months ago. Here’s the latest at the end of Thursday."
Katie Ledecky is still breaking records,https://www.nytimes.com/interactive/2024/07/31/sports/olympics/katie-ledecky-us-olympics-swimming.html,"Katie Ledecky, now a 27-year-old captain of the U.S. swimming team, is the most decorated American woman in Olympic history after earning her 13th medal.","Aug. 1, 2024",Russia Freed Evan Gershkovich in a Major Prisoner Swap,"Also, a Hamas leader was killed by a bomb planted months ago. Here’s the latest at the end of Thursday."
SKIP,SKIP,SKIP,"Aug. 1, 2024",Russia Freed Evan Gershkovich in a Major Prisoner Swap,"Also, a Hamas leader was killed by a bomb planted months ago. Here’s the latest at the end of Thursday."
SKIP,SKIP,SKIP,"Aug. 1, 2024",Russia Freed Evan Gershkovich in a Major Prisoner Swap,"Also, a Hamas leader was killed by a bomb planted months ago. Here’s the latest at the end of Thursday."
These Italians are walking off their wine,https://www.nytimes.com/2024/08/01/world/europe/italy-walking-mayor.html,"Luciano Fregonese, mayor of a town famous for its Prosecco, started health walks to counteract social calorie intake, attracting hundreds to join him.","Aug. 1, 2024",Russia Freed Evan Gershkovich in a Major Prisoner Swap,"Also, a Hamas leader was killed by a bomb planted months ago. Here’s the latest at the end of Thursday."
SKIP,SKIP,SKIP,"Aug. 1, 2024",Russia Freed Evan Gershkovich in a Major Prisoner Swap,"Also, a Hamas leader was killed by a bomb planted months ago. Here’s the latest at the end of Thursday."
