headline,url,description,publication_date,newsletter_headline,newsletter_sub_hed
The Biggest Speech of Kamala Harris’s Life,https://www.nytimes.com/2024/08/22/us/politics/harris-speech-preview.html,"Kamala Harris will formally accept her party’s presidential nomination at the Democratic National Convention, presenting her vision for the country and highlighting her economic policy agenda.","Aug. 22, 2024",The Biggest Speech of Kamala Harris’s Life,"Also, Canada’s rail shutdown could disrupt the U.S. economy. Here’s the latest at the end of Thursday."
A deadlier mpox strain is now on three continents,https://www.nytimes.com/2024/08/22/world/asia/thailand-mpox.html,"Health officials in Thailand confirmed a patient was infected by a deadlier mpox strain, which prompted a global health emergency declaration.","Aug. 22, 2024",The Biggest Speech of Kamala Harris’s Life,"Also, Canada’s rail shutdown could disrupt the U.S. economy. Here’s the latest at the end of Thursday."
Canada ended its brief rail shutdown,https://www.nytimes.com/2024/08/22/world/canada/canada-freight-trains.html,"The Canadian government ordered freight railroads to enter contract arbitration to end a lockout that halted rail traffic, threatening supply-chain disruptions.","Aug. 22, 2024",The Biggest Speech of Kamala Harris’s Life,"Also, Canada’s rail shutdown could disrupt the U.S. economy. Here’s the latest at the end of Thursday."
SKIP,SKIP,SKIP,"Aug. 22, 2024",The Biggest Speech of Kamala Harris’s Life,"Also, Canada’s rail shutdown could disrupt the U.S. economy. Here’s the latest at the end of Thursday."
A year when the movies took risks,https://www.nytimes.com/2024/08/17/briefing/the-movies-of-1999.html,"The Times's Culture desk explores the movies of 1999, highlighting prescient themes and the abundant risk-taking in films from that year.","Aug. 22, 2024",The Biggest Speech of Kamala Harris’s Life,"Also, Canada’s rail shutdown could disrupt the U.S. economy. Here’s the latest at the end of Thursday."
"The U.S. Open is free this week — yes, really",https://www.nytimes.com/2024/08/22/nyregion/usopen-free-week.html,"The U.S. Open's qualification tournament is offering free entry this week, allowing spectators to enjoy high-level tennis and entertainment without the usual high costs.","Aug. 22, 2024",The Biggest Speech of Kamala Harris’s Life,"Also, Canada’s rail shutdown could disrupt the U.S. economy. Here’s the latest at the end of Thursday."
SKIP,SKIP,SKIP,"Aug. 22, 2024",The Biggest Speech of Kamala Harris’s Life,"Also, Canada’s rail shutdown could disrupt the U.S. economy. Here’s the latest at the end of Thursday."
SKIP,SKIP,SKIP,"Aug. 22, 2024",The Biggest Speech of Kamala Harris’s Life,"Also, Canada’s rail shutdown could disrupt the U.S. economy. Here’s the latest at the end of Thursday."
"R.I.P. Sphen, the penguin who became a gay icon",https://www.nytimes.com/2024/08/22/world/australia/sphen-gay-penguin-dead.html,"Sphen, a male gentoo penguin from Sydney who became a symbol for gay pride with his partner Magic, passed away at age 11, leaving Magic to mourn his loss.","Aug. 22, 2024",The Biggest Speech of Kamala Harris’s Life,"Also, Canada’s rail shutdown could disrupt the U.S. economy. Here’s the latest at the end of Thursday."
SKIP,SKIP,SKIP,"Aug. 22, 2024",The Biggest Speech of Kamala Harris’s Life,"Also, Canada’s rail shutdown could disrupt the U.S. economy. Here’s the latest at the end of Thursday."
