headline,url,description,publication_date,newsletter_headline,newsletter_sub_hed
The Special Counsel Filed Revised Charges Against Trump,https://www.nytimes.com/2024/08/27/us/politics/trump-indictment-election-jan-6.html,"Federal prosecutors issued a new indictment accusing Donald Trump of plotting to overturn the 2020 election, revising charges to align with a Supreme Court ruling on presidential immunity.","Aug. 27, 2024",The Special Counsel Filed Revised Charges Against Trump,"Also, Israeli forces rescued a hostage from Gaza. Here’s the latest from the end of Tuesday."
Trump asked R.F.K. Jr. to join his transition team,https://www.nytimes.com/2024/08/27/us/politics/trump-transition-rfk-tulsi-gabbard.html,"Donald Trump plans to name Robert F. Kennedy Jr. and Tulsi Gabbard as honorary co-chairs of his presidential transition team, helping to select policies and personnel for a potential second administration.","Aug. 27, 2024",The Special Counsel Filed Revised Charges Against Trump,"Also, Israeli forces rescued a hostage from Gaza. Here’s the latest from the end of Tuesday."
Israeli forces rescued a hostage from Gaza,https://www.nytimes.com/live/2024/08/27/world/israel-hamas-gaza-war,"Israel’s military announced the rescue of an Israeli citizen abducted during the Hamas-led attacks on Oct. 7, found by soldiers in a Hamas tunnel network in southern Gaza.","Aug. 27, 2024",The Special Counsel Filed Revised Charges Against Trump,"Also, Israeli forces rescued a hostage from Gaza. Here’s the latest from the end of Tuesday."
A rare mosquito-borne virus has the Northeast on alert,https://www.nytimes.com/2024/08/27/us/massachusetts-eee-mosquito-disease.html,"One person has died in New Hampshire from Eastern equine encephalitis and two others have been infected, prompting health officials to urge mosquito precautions.","Aug. 27, 2024",The Special Counsel Filed Revised Charges Against Trump,"Also, Israeli forces rescued a hostage from Gaza. Here’s the latest from the end of Tuesday."
SKIP,SKIP,SKIP,"Aug. 27, 2024",The Special Counsel Filed Revised Charges Against Trump,"Also, Israeli forces rescued a hostage from Gaza. Here’s the latest from the end of Tuesday."
Tim Burton revisits ‘Beetlejuice’,https://www.nytimes.com/2024/08/27/movies/beetlejuice-tim-burton-winona-ryder-michael-keaton.html,"The cast of the cult classic 'Beetlejuice' reunites for 'Beetlejuice Beetlejuice,' debuting at the Venice Film Festival, with insights from key cast members and Tim Burton about the original film.","Aug. 27, 2024",The Special Counsel Filed Revised Charges Against Trump,"Also, Israeli forces rescued a hostage from Gaza. Here’s the latest from the end of Tuesday."
A whistle-stop tour of America,https://www.nytimes.com/2024/08/27/travel/amtrak-empire-builder-train-small-towns.html,"Amtrak’s Empire Builder offers scenic journeys from Chicago to Seattle, with a writer exploring six lesser-known stops along the route.","Aug. 27, 2024",The Special Counsel Filed Revised Charges Against Trump,"Also, Israeli forces rescued a hostage from Gaza. Here’s the latest from the end of Tuesday."
SKIP,SKIP,SKIP,"Aug. 27, 2024",The Special Counsel Filed Revised Charges Against Trump,"Also, Israeli forces rescued a hostage from Gaza. Here’s the latest from the end of Tuesday."
SKIP,SKIP,SKIP,"Aug. 27, 2024",The Special Counsel Filed Revised Charges Against Trump,"Also, Israeli forces rescued a hostage from Gaza. Here’s the latest from the end of Tuesday."
Where Italian tennis stars eat in Manhattan,https://www.nytimes.com/2024/08/27/nyregion/usopen-tennis-italy.html,"The East Village trattoria, Via Della Pace, has become the go-to spot for visiting Italian tennis players during the U.S. Open, reminding them of home with its Italian ambiance.","Aug. 27, 2024",The Special Counsel Filed Revised Charges Against Trump,"Also, Israeli forces rescued a hostage from Gaza. Here’s the latest from the end of Tuesday."
SKIP,SKIP,SKIP,"Aug. 27, 2024",The Special Counsel Filed Revised Charges Against Trump,"Also, Israeli forces rescued a hostage from Gaza. Here’s the latest from the end of Tuesday."
