headline,url,description,publication_date,newsletter_headline,newsletter_sub_hed
Trump Is Trying to Regain the Spotlight by Returning to X,https://www.nytimes.com/live/2024/08/12/us/harris-trump-election,"Donald Trump is set to return to X for an interview with Elon Musk, aiming to regain the spotlight amid Kamala Harris's rising candidacy.","Aug. 12, 2024",Trump Is Trying to Regain the Spotlight by Returning to X,"Also, an ‘extremely dangerous’ fire is burning near Athens. Here’s the latest at the end of Monday."
An ‘extremely dangerous’ fire is burning near Athens,https://www.nytimes.com/2024/08/12/world/europe/athens-greece-wildfire.html,"Hundreds of firefighters battled a major wildfire near Athens, destroying properties and prompting evacuations with flames over 80 feet tall.","Aug. 12, 2024",Trump Is Trying to Regain the Spotlight by Returning to X,"Also, an ‘extremely dangerous’ fire is burning near Athens. Here’s the latest at the end of Monday."
Netanyahu clashed with his defense minister,https://www.nytimes.com/live/2024/08/12/world/israel-iran-hamas-gaza-war,Prime Minister Netanyahu accused his defense minister of harming the chances of a hostage release deal by criticizing Netanyahu's goal of a 'total victory' over Hamas.,"Aug. 12, 2024",Trump Is Trying to Regain the Spotlight by Returning to X,"Also, an ‘extremely dangerous’ fire is burning near Athens. Here’s the latest at the end of Monday."
Immigrants are becoming U.S. citizens at a faster rate,https://www.nytimes.com/2024/08/12/us/immigration-us-citizenship-rates.html,"The federal government is now processing citizenship requests faster than at any point over the last decade, allowing thousands of immigrants to become new Americans every week.","Aug. 12, 2024",Trump Is Trying to Regain the Spotlight by Returning to X,"Also, an ‘extremely dangerous’ fire is burning near Athens. Here’s the latest at the end of Monday."
Russia: Putin lashes out at the West,https://www.nytimes.com/2024/08/12/world/europe/russia-ukraine-incursion-war-east.html,President Vladimir Putin criticized the West over Ukraine's incursion into Russian territory in a tense televised meeting with top officials.,"Aug. 12, 2024",Trump Is Trying to Regain the Spotlight by Returning to X,"Also, an ‘extremely dangerous’ fire is burning near Athens. Here’s the latest at the end of Monday."
L.A. wants to make money off the 2028 Olympics,https://www.nytimes.com/2024/08/12/business/economy/olympics-los-angeles-2028-economy.html,"Los Angeles, set to host the 2028 Olympics, aims to achieve success and possibly profit from the event by expanding infrastructure and investing in major city projects.","Aug. 12, 2024",Trump Is Trying to Regain the Spotlight by Returning to X,"Also, an ‘extremely dangerous’ fire is burning near Athens. Here’s the latest at the end of Monday."
Is it time for another Covid shot?,https://www.nytimes.com/2024/08/12/well/coronavirus-vaccine-booster.html,"As Covid circulates at elevated levels, experts discuss whether it's time for another booster dose before updated vaccines arrive in the fall.","Aug. 12, 2024",Trump Is Trying to Regain the Spotlight by Returning to X,"Also, an ‘extremely dangerous’ fire is burning near Athens. Here’s the latest at the end of Monday."
SKIP,SKIP,SKIP,"Aug. 12, 2024",Trump Is Trying to Regain the Spotlight by Returning to X,"Also, an ‘extremely dangerous’ fire is burning near Athens. Here’s the latest at the end of Monday."
SKIP,SKIP,SKIP,"Aug. 12, 2024",Trump Is Trying to Regain the Spotlight by Returning to X,"Also, an ‘extremely dangerous’ fire is burning near Athens. Here’s the latest at the end of Monday."
He’ll cut your hair anywhere,https://www.nytimes.com/2024/08/10/nyregion/velo-barber-julien-howard.html,"Julien Howard, known as the Vélo Barber, travels around New York City on a collapsible bike, offering haircuts to celebrities in unique locations.","Aug. 12, 2024",Trump Is Trying to Regain the Spotlight by Returning to X,"Also, an ‘extremely dangerous’ fire is burning near Athens. Here’s the latest at the end of Monday."
SKIP,SKIP,SKIP,"Aug. 12, 2024",Trump Is Trying to Regain the Spotlight by Returning to X,"Also, an ‘extremely dangerous’ fire is burning near Athens. Here’s the latest at the end of Monday."
