headline,url,description,publication_date,newsletter_headline,newsletter_sub_hed
Trump Says He Wants to Cut Taxes. Harris’s Plan Mirrors Biden’s.,https://www.nytimes.com/2024/08/09/business/trump-harris-taxes-economy.html,"Donald Trump's proposed tax cuts could add nearly $4 trillion to the national debt over the next decade; Kamala Harris's economic plans resemble Biden's, aiming to reduce the deficit primarily by increasing taxes on corporations and high earners.","Aug. 9, 2024",Trump Says He Wants to Cut Taxes. Harris’s Plan Mirrors Biden’s.,"Also, Russia is scrambling to halt Ukraine’s surprise offensive. Here’s the latest at the end of Friday."
Russia is scrambling to halt Ukraine's surprise offensive,https://www.nytimes.com/2024/08/09/world/europe/ukraine-russia-kursk-lipetsk.html,The Russian military is sending more troops and armored vehicles to the Kursk region in response to Ukraine's largest assault on Russian soil since the war began.,"Aug. 9, 2024",Trump Says He Wants to Cut Taxes. Harris’s Plan Mirrors Biden’s.,"Also, Russia is scrambling to halt Ukraine’s surprise offensive. Here’s the latest at the end of Friday."
Israel launched an offensive in Gaza’s south,https://www.nytimes.com/live/2024/08/09/world/israel-iran-hamas-gaza-war,"The Israeli military launched an offensive in Khan Younis, southern Gaza, involving ground troops and fighter jets amid Hamas fighters' regrouping, with prior orders for Palestinians to evacuate.","Aug. 9, 2024",Trump Says He Wants to Cut Taxes. Harris’s Plan Mirrors Biden’s.,"Also, Russia is scrambling to halt Ukraine’s surprise offensive. Here’s the latest at the end of Friday."
A plane carrying 61 people crashed in Brazil,https://www.nytimes.com/2024/08/09/world/americas/brazil-plane-crash.html,"A passenger plane carrying 61 people crashed outside São Paulo, Brazil, killing all on board, according to Brazilian authorities.","Aug. 9, 2024",Trump Says He Wants to Cut Taxes. Harris’s Plan Mirrors Biden’s.,"Also, Russia is scrambling to halt Ukraine’s surprise offensive. Here’s the latest at the end of Friday."
SKIP,SKIP,SKIP,"Aug. 9, 2024",Trump Says He Wants to Cut Taxes. Harris’s Plan Mirrors Biden’s.,"Also, Russia is scrambling to halt Ukraine’s surprise offensive. Here’s the latest at the end of Friday."
The most memorable moments of the Paris Games,https://www.nytimes.com/2024/08/09/world/olympics/paris-olympics-2024-moments.html,"As the Olympics wind down, spectators reflect on unforgettable moments like Léon Marchand's dominant swimming performances.","Aug. 9, 2024",Trump Says He Wants to Cut Taxes. Harris’s Plan Mirrors Biden’s.,"Also, Russia is scrambling to halt Ukraine’s surprise offensive. Here’s the latest at the end of Friday."
Extend your vacation mind-set,https://www.nytimes.com/2024/08/09/well/live/vacation-habits.html,"Jancee Dunn offers tips from psychologists on maintaining a vacation mindset in daily life, including enjoying green spaces for health benefits.","Aug. 9, 2024",Trump Says He Wants to Cut Taxes. Harris’s Plan Mirrors Biden’s.,"Also, Russia is scrambling to halt Ukraine’s surprise offensive. Here’s the latest at the end of Friday."
SKIP,SKIP,SKIP,"Aug. 9, 2024",Trump Says He Wants to Cut Taxes. Harris’s Plan Mirrors Biden’s.,"Also, Russia is scrambling to halt Ukraine’s surprise offensive. Here’s the latest at the end of Friday."
SKIP,SKIP,SKIP,"Aug. 9, 2024",Trump Says He Wants to Cut Taxes. Harris’s Plan Mirrors Biden’s.,"Also, Russia is scrambling to halt Ukraine’s surprise offensive. Here’s the latest at the end of Friday."
"For a celestial spectacle this weekend, look up",https://www.nytimes.com/2024/08/09/science/perseids-meteor-shower-how-to-watch.html,"The Perseids meteor shower will reach its peak on Sunday night, lighting up the night sky with as many as 100 colorful streaks per hour.","Aug. 9, 2024",Trump Says He Wants to Cut Taxes. Harris’s Plan Mirrors Biden’s.,"Also, Russia is scrambling to halt Ukraine’s surprise offensive. Here’s the latest at the end of Friday."
SKIP,SKIP,SKIP,"Aug. 9, 2024",Trump Says He Wants to Cut Taxes. Harris’s Plan Mirrors Biden’s.,"Also, Russia is scrambling to halt Ukraine’s surprise offensive. Here’s the latest at the end of Friday."
