headline,url,description,publication_date,newsletter_headline,newsletter_sub_hed
Trump and Harris Agreed to a September Debate,https://www.nytimes.com/live/2024/08/08/us/harris-trump-election,"Donald Trump held a news conference proposing debate dates after Kamala Harris became the Democratic nominee, with ABC News set to host a debate on Sept. 10.","Aug. 8, 2024",Trump and Harris Agreed to a September Debate,"Also, Ukraine launched a surprise push into Russia. Here’s the latest at the end of Thursday."
Ukraine launched a surprise push into Russia,https://www.nytimes.com/2024/08/08/world/europe/russia-border-ukraine.html,"Ukrainian forces breached Russian border defenses, capturing several settlements in an unexpected attack that led to a state of emergency in Russia's Kursk region.","Aug. 8, 2024",Trump and Harris Agreed to a September Debate,"Also, Ukraine launched a surprise push into Russia. Here’s the latest at the end of Thursday."
Mortgage rates dropped sharply,https://www.nytimes.com/2024/08/08/business/economy/mortgage-rates.html,"The average rate for a 30-year mortgage fell to 6.47 percent, marking the biggest one-week decline of the year and the lowest in 15 months, providing relief for buyers and potential sellers.","Aug. 8, 2024",Trump and Harris Agreed to a September Debate,"Also, Ukraine launched a surprise push into Russia. Here’s the latest at the end of Thursday."
Inside Sudan’s civil war,https://www.nytimes.com/2024/08/08/magazine/sudan-nuba-war.html,"A war broke out last year in Sudan between two generals, leading to thousands of deaths and millions of displacements, largely unnoticed by the outside world.","Aug. 8, 2024",Trump and Harris Agreed to a September Debate,"Also, Ukraine launched a surprise push into Russia. Here’s the latest at the end of Thursday."
SKIP,SKIP,SKIP,"Aug. 8, 2024",Trump and Harris Agreed to a September Debate,"Also, Ukraine launched a surprise push into Russia. Here’s the latest at the end of Thursday."
Sydney McLaughlin-Levrone made a world record look easy,https://www.nytimes.com/athletic/5688911/2024/08/08/sydney-mclaughlin-levrone-400-meter-hurdles-olympics-gold/,"Sydney McLaughlin-Levrone of the U.S. set a world record time of 50.37 seconds in the 400-meter hurdles final at the Paris Olympics, earning her a second consecutive gold medal in the event.","Aug. 8, 2024",Trump and Harris Agreed to a September Debate,"Also, Ukraine launched a surprise push into Russia. Here’s the latest at the end of Thursday."
Inside the mind of Missy Elliott,https://www.nytimes.com/interactive/2024/08/07/arts/music/missy-elliott-out-of-this-world-tour-career.html,"Missy Elliott discusses her inspirations for her first proper tour, the Out of This World Tour, which reflects her 30-year career in a space-themed show.","Aug. 8, 2024",Trump and Harris Agreed to a September Debate,"Also, Ukraine launched a surprise push into Russia. Here’s the latest at the end of Thursday."
SKIP,SKIP,SKIP,"Aug. 8, 2024",Trump and Harris Agreed to a September Debate,"Also, Ukraine launched a surprise push into Russia. Here’s the latest at the end of Thursday."
SKIP,SKIP,SKIP,"Aug. 8, 2024",Trump and Harris Agreed to a September Debate,"Also, Ukraine launched a surprise push into Russia. Here’s the latest at the end of Thursday."
Artists who swap fantasy for grime,https://www.nytimes.com/2024/08/08/t-magazine/miniatures-city-artists.html,"A new generation of miniaturists creates hyper-realistic structures replicating our imperfect world, focusing on the architecture and character of beloved cities.","Aug. 8, 2024",Trump and Harris Agreed to a September Debate,"Also, Ukraine launched a surprise push into Russia. Here’s the latest at the end of Thursday."
SKIP,SKIP,SKIP,"Aug. 8, 2024",Trump and Harris Agreed to a September Debate,"Also, Ukraine launched a surprise push into Russia. Here’s the latest at the end of Thursday."
