headline,url,description,publication_date,newsletter_headline,newsletter_sub_hed
Trump’s Pitch to Parents,https://www.nytimes.com/2024/08/30/us/trump-moms-for-liberty-school-boards.html,"Donald Trump is set to deliver a speech to Moms for Liberty, highlighting his education platform focused on 'parental rights' and offering free fertility treatments amid his struggle for women’s votes.","Aug. 30, 2024",Trump’s Pitch to Parents,"Also, an obesity drug may prevent Covid deaths. Here’s the latest at the end of Friday."
Israel shifted its West Bank raid to Jenin,https://www.nytimes.com/live/2024/08/30/world/israel-hamas-gaza-war/israeli-forces-pull-back-from-tulkarm-but-press-on-with-their-raid-of-jenin-officials-say?smid=url-share,"On the third day of raids in the West Bank, Israeli forces have shifted their focus to Jenin after pulling back from Tulkarm, with raids resulting in at least 19 Palestinian deaths.","Aug. 30, 2024",Trump’s Pitch to Parents,"Also, an obesity drug may prevent Covid deaths. Here’s the latest at the end of Friday."
"Mortgage rates are falling, but houses are still expensive",https://www.nytimes.com/2024/08/30/business/economy/interest-rate-cuts-housing-affordability-crisis.html,"Despite falling mortgage rates as the Federal Reserve plans to reduce borrowing costs, housing remains unaffordable for many due to insufficient supply.","Aug. 30, 2024",Trump’s Pitch to Parents,"Also, an obesity drug may prevent Covid deaths. Here’s the latest at the end of Friday."
An obesity drug may prevent Covid deaths,https://www.nytimes.com/2024/08/30/health/wegovy-covid-deaths.html,"People who took the obesity drug Wegovy during the pandemic were 33 percent less likely to die of Covid, according to a clinical trial.","Aug. 30, 2024",Trump’s Pitch to Parents,"Also, an obesity drug may prevent Covid deaths. Here’s the latest at the end of Friday."
SKIP,SKIP,SKIP,"Aug. 30, 2024",Trump’s Pitch to Parents,"Also, an obesity drug may prevent Covid deaths. Here’s the latest at the end of Friday."
A supernatural horror movie based on a true story?,https://www.nytimes.com/2024/08/30/movies/the-deliverance-netflix-real-story.html,Netflix's 'The Deliverance' is a horror film inspired by the story of an Indiana woman who claimed her family was possessed by evil spirits in 2011.,"Aug. 30, 2024",Trump’s Pitch to Parents,"Also, an obesity drug may prevent Covid deaths. Here’s the latest at the end of Friday."
SKIP,SKIP,SKIP,"Aug. 30, 2024",Trump’s Pitch to Parents,"Also, an obesity drug may prevent Covid deaths. Here’s the latest at the end of Friday."
SKIP,SKIP,SKIP,"Aug. 30, 2024",Trump’s Pitch to Parents,"Also, an obesity drug may prevent Covid deaths. Here’s the latest at the end of Friday."
SKIP,SKIP,SKIP,"Aug. 30, 2024",Trump’s Pitch to Parents,"Also, an obesity drug may prevent Covid deaths. Here’s the latest at the end of Friday."
College dorms with a touch of Versailles,https://www.nytimes.com/2024/08/30/realestate/college-dorm-room-interior-designer.html,"A new class of high-end dorm room interior designers is emerging, charging up to $10,000 to transform college dorms with luxurious decor.","Aug. 30, 2024",Trump’s Pitch to Parents,"Also, an obesity drug may prevent Covid deaths. Here’s the latest at the end of Friday."
SKIP,SKIP,SKIP,"Aug. 30, 2024",Trump’s Pitch to Parents,"Also, an obesity drug may prevent Covid deaths. Here’s the latest at the end of Friday."
